chainage_km,x_twd97,y_twd97
53.0,190572.4,2626236.2
53.25,190488.1,2626000.8
53.5,190405.1,2625765.0
53.75,190322.0,2625529.2
54.0,190238.7,2625293.5
54.25,190154.9,2625057.9
54.5,190070.5,2624822.6
54.75,189985.5,2624587.5
55.0,189897.0,2624353.7
55.25,189803.9,2624121.7
55.5,189702.4,2623893.4
55.75,189592.0,2623669.1
56.0,189473.1,2623449.2
56.25,189346.8,2623233.5
56.5,189214.0,2623021.8
56.75,189073.0,2622815.3
57.0,188929.4,2622610.7
57.25,188785.0,2622406.6
57.5,188640.3,2622202.7
57.75,188495.6,2621998.9
58.0,188350.7,2621795.2
58.25,188205.6,2621591.6
58.5,188060.6,2621387.9
58.75,187915.9,2621184.1
59.0,187771.2,2620980.2
59.25,187626.5,2620776.3
59.5,187482.0,2620572.3
59.75,187337.3,2620368.4
60.0,187192.7,2620164.5
60.25,187048.0,2619960.6
60.5,186903.4,2619756.7
60.75,186758.8,2619552.8
61.0,186614.1,2619348.9
61.25,186469.4,2619145.0
61.5,186324.8,2618941.1
61.75,186180.1,2618737.2
62.0,186035.5,2618533.3
62.25,185890.8,2618329.4
62.5,185746.1,2618125.6
62.75,185601.3,2617921.7
63.0,185456.5,2617717.9
63.25,185311.8,2617514.1
63.5,185167.0,2617310.3
63.75,185022.3,2617106.4
64.0,184877.7,2616902.4
64.25,184733.1,2616698.5
64.5,184588.2,2616494.8
64.75,184443.3,2616291.1
65.0,184298.4,2616087.4
65.25,184153.6,2615883.6
65.5,184008.7,2615679.8
65.75,183864.2,2615475.8
66.0,183720.4,2615271.3
66.25,183576.7,2615066.8
66.5,183436.7,2614859.6
66.75,183297.0,2614652.3
67.0,183168.7,2614437.8
67.25,183044.0,2614221.2
67.5,182926.7,2614000.4
67.75,182814.4,2613777.1
68.0,182706.2,2613551.8
68.25,182609.8,2613321.1
68.5,182520.3,2613087.7
68.75,182436.1,2612852.3
69.0,182357.1,2612615.1
69.25,182287.0,2612375.2
69.5,182224.2,2612133.2
69.75,182169.2,2611889.3
70.0,182122.1,2611643.9
70.25,182083.1,2611397.0
70.5,182050.9,2611149.1
70.75,182024.3,2610900.5
71.0,182004.9,2610651.3
71.25,181986.6,2610401.9
71.5,181971.0,2610152.4
71.75,181955.5,2609902.9
72.0,181940.3,2609653.4
72.25,181925.1,2609403.8
72.5,181910.1,2609154.3
72.75,181895.3,2608904.7
73.0,181880.3,2608655.2
73.25,181865.0,2608405.6
73.5,181849.4,2608156.1
73.75,181831.8,2607906.8
74.0,181811.1,2607657.6
74.25,181785.9,2607408.9
74.5,181755.5,2607160.8
74.75,181724.6,2606912.7
75.0,181690.0,2606665.1
75.25,181655.2,2606417.5
75.5,181620.1,2606170.0
75.75,181585.1,2605922.5
76.0,181550.3,2605674.9
76.25,181515.6,2605427.3
76.5,181481.3,2605179.7
76.75,181448.0,2604931.9
77.0,181415.7,2604684.0
77.25,181387.2,2604435.7
77.5,181367.1,2604186.5
77.75,181353.5,2603936.9
78.0,181339.8,2603687.3
78.25,181326.1,2603437.7
78.5,181312.5,2603188.0
78.75,181298.8,2602938.4
79.0,181285.2,2602688.8
79.25,181272.4,2602439.1
79.5,181259.7,2602189.4
79.75,181247.1,2601939.8
80.0,181234.4,2601690.1
80.25,181221.8,2601440.4
80.5,181209.2,2601190.7
80.75,181196.5,2600941.0
81.0,181183.9,2600691.4
81.25,181171.2,2600441.7
81.5,181158.6,2600192.0
81.75,181145.9,2599942.3
82.0,181133.3,2599692.6
82.25,181120.6,2599443.0
82.5,181108.0,2599193.3
82.75,181095.3,2598943.6
83.0,181082.6,2598693.9
83.25,181070.0,2598444.2
83.5,181057.3,2598194.6
83.75,181044.7,2597944.9
84.0,181032.0,2597695.2
84.25,181019.3,2597445.5
84.5,181007.1,2597195.8
84.75,180994.8,2596946.1
85.0,180982.5,2596696.4
85.25,180970.2,2596446.7
85.5,180958.0,2596197.0
85.75,180944.1,2595947.4
86.0,180932.0,2595697.7
86.25,180919.9,2595448.0
86.5,180908.7,2595198.3
86.75,180897.8,2594948.5
87.0,180885.7,2594698.8
87.25,180872.8,2594449.1
87.5,180860.1,2594199.4
87.75,180847.9,2593949.7
88.0,180835.7,2593700.0
88.25,180823.5,2593450.3
88.5,180811.3,2593200.6
88.75,180798.8,2592950.9
89.0,180786.2,2592701.3
89.25,180773.5,2592451.6
89.5,180760.9,2592201.9
89.75,180748.3,2591952.2
90.0,180735.7,2591702.5
90.25,180723.1,2591452.9
90.5,180710.5,2591203.2
90.75,180697.9,2590953.5
91.0,180685.3,2590703.8
91.25,180672.7,2590454.1
91.5,180660.1,2590204.4
91.75,180647.1,2589954.8
92.0,180633.9,2589705.1
92.25,180620.6,2589455.5
