backend,seed,train_s,kge_median,nse_median,rmse_median
scan,0,51.6,0.6476,0.5114,1.1407
scan,1,38.5,0.6426,0.5118,1.0909
scan,2,38.5,0.6184,0.5406,1.0956
scan,3,38.5,0.6498,0.5627,1.1857
scan,4,38.5,0.556,0.3801,1.2885
loop,1,257.0,0.5693,0.4256,1.2249
