seed,vep_shared_loso,sk_loso
0,-0.9626863626592432,-0.5562379526035561
1,-0.8408316178979605,-0.5562379526035561
2,-0.8412629718276152,-0.5562379526035561
3,-0.8412166900883393,-0.5562379526035561
4,-0.841547969906314,-0.5562379526035561
5,-0.8614066928672734,-0.5562379526035561
6,-0.8407948766926583,-0.5562379526035561
7,-0.8408533378370067,-0.5562379526035561
