tectonic,n_sites,var_removed,sk_single,r2_insample,sk_loso_pooled,loso_r2,loso_r2_sk
none,888,0.0,0.039548030917138335,0.11862723250694895,0.1160652609540026,0.06228109760312739,-0.10234777394742078
planar,888,0.20817456177053242,0.031415902165478515,-0.157607919507607,-0.1609981117826642,-0.18035068224921913,-0.02057861630985558
